timestep,susceptible_nodes,infected_nodes,recovered_nodes,run
17,22,26,16,5
18,25,23,18,5
19,26,22,19,5
20,22,26,17,5
21,28,20,25,5
22,31,17,24,5
23,29,19,23,5
24,31,17,27,5
25,34,14,28,5
26,36,12,29,5
27,38,10,26,5
28,33,15,25,5
29,33,15,23,5
30,31,17,21,5
31,32,16,23,5
32,31,17,23,5
33,29,19,22,5
34,32,16,23,5
35,33,15,25,5
36,34,14,26,5
37,38,10,28,5
38,39,9,27,5
39,39,9,28,5
40,42,6,25,5
41,41,7,23,5
42,43,5,23,5
43,43,5,19,5
44,42,6,18,5
45,42,6,16,5
46,38,10,14,5
47,35,13,12,5
48,38,10,14,5
49,38,10,16,5
0,29,19,0,6
1,24,24,5,6
2,20,28,6,6
3,19,29,11,6
4,20,28,17,6
5,27,21,21,6
6,33,15,27,6
7,33,15,23,6
8,30,18,22,6
9,33,15,22,6
10,31,17,21,6
11,31,17,21,6
12,30,18,22,6
13,28,20,22,6
14,30,18,23,6
15,30,18,22,6
16,29,19,22,6
17,29,19,21,6
18,35,13,25,6
19,34,14,24,6
20,37,11,26,6
21,39,9,28,6
22,39,9,25,6
23,36,12,23,6
24,35,13,21,6
25,36,12,19,6
26,36,12,18,6
27,35,13,18,6
28,35,13,20,6
29,37,11,22,6
30,35,13,22,6
31,37,11,24,6
32,37,11,23,6
33,36,12,23,6
34,35,13,23,6
35,41,7,25,6
36,37,11,21,6
37,38,10,20,6
38,38,10,21,6
39,39,9,19,6
40,39,9,19,6
41,38,10,17,6
42,37,11,20,6
43,35,13,18,6
44,33,15,17,6
45,32,16,17,6
46,37,11,23,6
47,39,9,21,6
48,38,10,21,6
49,38,10,23,6
0,31,17,2,7
1,26,22,4,7
2,27,21,10,7
3,31,17,13,7
4,28,20,14,7
5,28,20,19,7
6,32,16,25,7
7,36,12,25,7
8,37,11,26,7
9,37,11,25,7
10,38,10,26,7
11,38,10,25,7
12,37,11,24,7
13,37,11,25,7
14,38,10,26,7
15,37,11,25,7
16,38,10,27,7
17,39,9,27,7
18,44,4,31,7
19,41,7,27,7
20,41,7,27,7
21,42,6,24,7
22,43,5,24,7
23,43,5,24,7
24,44,4,23,7
25,45,3,22,7
26,46,2,22,7
27,46,2,19,7
28,45,3,18,7
29,45,3,16,7
30,45,3,15,7
31,43,5,16,7
32,40,8,16,7
33,43,5,19,7
34,43,5,19,7
35,43,5,20,7
36,45,3,19,7
37,44,4,17,7
38,46,2,19,7
39,46,2,17,7
40,46,2,16,7
41,46,2,15,7
42,46,2,14,7
43,46,2,8,7
44,46,2,9,7
45,45,3,5,7
46,43,5,6,7
47,42,6,6,7
48,39,9,4,7
49,35,13,6,7
0,29,19,1,8
1,19,29,6,8
2,16,32,11,8
3,20,28,16,8
4,22,26,20,8
5,26,22,25,8
6,33,15,32,8
7,34,14,30,8
8,36,12,30,8
9,36,12,29,8
10,37,11,27,8
11,36,12,28,8
12,39,9,28,8
13,37,11,24,8
14,35,13,25,8
15,34,14,25,8
16,33,15,25,8
17,32,16,23,8
18,33,15,26,8
19,34,14,25,8
20,33,15,26,8
21,33,15,26,8
22,32,16,23,8
23,30,18,22,8
24,32,16,23,8
25,31,17,22,8
26,29,19,20,8
27,31,17,24,8
28,34,14,26,8
29,39,9,28,8
30,36,12,25,8
31,38,10,27,8
32,35,13,26,8
33,33,15,25,8
34,33,15,25,8
35,32,16,26,8
36,34,14,25,8
37,35,13,25,8
38,34,14,25,8
39,34,14,21,8
40,28,20,20,8
41,31,17,23,8
42,32,16,23,8
43,35,13,22,8
44,34,14,20,8
45,36,12,23,8
46,37,11,25,8
47,38,10,25,8
48,38,10,25,8
49,33,15,24,8
0,32,16,1,9
1,19,29,0,9
2,15,33,4,9
3,15,33,10,9
4,20,28,18,9
5,24,24,21,9
6,29,19,25,9
7,33,15,29,9
8,43,5,35,9
9,43,5,33,9
10,42,6,29,9
11,41,7,28,9
12,41,7,28,9
13,42,6,27,9
14,41,7,26,9
15,44,4,26,9
16,43,5,24,9
17,44,4,23,9
18,42,6,24,9
19,42,6,22,9
20,43,5,22,9
21,44,4,22,9
22,44,4,21,9
23,46,2,20,9
24,46,2,16,9
25,46,2,14,9
26,46,2,12,9
27,46,2,11,9
28,45,3,11,9
29,44,4,10,9
30,45,3,11,9
31,45,3,10,9
32,47,1,8,9
33,45,3,7,9
34,43,5,8,9
35,45,3,10,9
36,44,4,9,9
37,41,7,9,9
38,40,8,9,9
39,37,11,9,9
40,36,12,10,9
41,29,19,11,9
42,25,23,14,9
43,26,22,17,9
44,24,24,19,9
45,22,26,17,9
46,23,25,19,9
47,25,23,20,9
48,27,21,21,9
49,30,18,21,9
0,27,21,0,10
1,20,28,3,10
2,15,33,7,10
3,16,32,11,10
4,18,30,14,10
5,24,24,20,10
6,26,22,23,10
7,27,21,26,10
8,30,18,26,10
9,29,19,25,10
10,32,16,28,10
11,33,15,27,10
12,33,15,28,10
13,35,13,28,10
14,35,13,27,10
15,38,10,28,10
16,40,8,28,10
17,39,9,26,10
18,39,9,27,10
19,37,11,26,10
20,35,13,25,10
21,39,9,27,10
22,39,9,25,10
23,35,13,25,10
24,33,15,25,10
25,37,11,26,10
26,36,12,23,10
27,37,11,20,10
28,32,16,17,10
29,30,18,14,10
30,31,17,18,10
31,28,20,19,10
32,31,17,22,10
33,33,15,24,10
34,32,16,25,10
35,32,16,24,10
36,32,16,22,10
37,32,16,23,10
38,31,17,24,10
39,32,16,26,10
40,33,15,25,10
41,33,15,25,10
42,36,12,29,10
43,36,12,29,10
44,35,13,26,10
45,34,14,24,10
46,30,18,24,10
47,31,17,23,10
48,29,19,23,10
49,31,17,25,10
0,31,17,2,11
1,26,22,5,11
2,27,21,8,11
3,27,21,12,11
4,28,20,14,11
5,31,17,18,11
6,34,14,20,11
7,33,15,20,11
8,34,14,22,11
9,36,12,24,11
10,37,11,25,11
11,39,9,25,11
12,41,7,28,11
13,43,5,27,11
14,44,4,25,11
15,43,5,23,11
16,43,5,22,11
17,42,6,18,11
18,43,5,18,11
19,44,4,16,11
20,44,4,15,11
21,43,5,15,11
22,43,5,12,11
23,39,9,10,11
24,37,11,10,11
25,33,15,10,11
26,26,22,7,11
27,25,23,13,11
28,28,20,18,11
29,26,22,19,11
30,28,20,18,11
31,25,23,19,11
32,25,23,19,11
33,24,24,18,11
34,27,21,24,11
35,31,17,26,11
36,34,14,29,11
37,32,16,26,11
38,31,17,25,11
39,32,16,28,11
40,35,13,29,11
41,37,11,27,11
42,39,9,30,11
43,38,10,28,11
44,35,13,25,11
45,36,12,26,11
46,36,12,25,11
47,40,8,27,11
48,40,8,27,11
49,38,10,24,11
0,25,23,0,12
1,17,31,4,12
2,21,27,12,12
3,18,30,12,12
4,23,25,16,12
5,27,21,22,12
6,29,19,25,12
7,31,17,25,12
8,30,18,25,12
9,31,17,25,12
10,34,14,27,12
11,34,14,26,12
12,35,13,25,12
13,34,14,27,12
14,35,13,28,12
15,35,13,27,12
16,39,9,27,12
17,39,9,24,12
18,37,11,24,12
19,34,14,24,12
20,36,12,26,12
21,34,14,27,12
22,34,14,26,12
23,33,15,25,12
24,36,12,27,12
25,35,13,24,12
26,31,17,21,12
27,35,13,26,12
28,38,10,25,12
29,39,9,26,12
30,41,7,27,12
31,41,7,26,12
32,44,4,27,12
33,45,3,28,12
34,46,2,27,12
35,45,3,24,12
36,46,2,23,12
37,45,3,20,12
38,46,2,17,12
39,47,1,15,12
40,47,1,15,12
41,47,1,12,12
42,46,2,12,12
43,46,2,11,12
44,46,2,11,12
45,46,2,10,12
46,48,0,11,12
47,48,0,10,12
48,48,0,10,12
49,48,0,8,12
0,26,22,0,13
1,24,24,8,13
2,21,27,13,13
3,23,25,16,13
4,26,22,19,13
5,24,24,19,13
6,24,24,22,13
7,31,17,24,13
8,31,17,25,13
9,32,16,23,13
10,31,17,24,13
11,33,15,23,13
12,31,17,21,13
13,31,17,23,13
14,33,15,23,13
15,34,14,26,13
16,38,10,29,13
17,38,10,24,13
18,39,9,22,13
19,40,8,17,13
20,37,11,16,13
21,36,12,17,13
22,37,11,18,13
23,37,11,19,13
24,38,10,20,13
25,41,7,21,13
26,39,9,19,13
27,39,9,18,13
28,35,13,18,13
29,36,12,22,13
30,38,10,24,13
31,39,9,22,13
32,38,10,21,13
33,39,9,24,13
34,38,10,23,13
35,36,12,21,13
36,33,15,22,13
37,35,13,22,13
38,36,12,19,13
39,38,10,21,13
40,36,12,21,13
41,40,8,24,13
42,40,8,23,13
43,41,7,22,13
44,42,6,25,13
45,44,4,22,13
46,43,5,19,13
47,43,5,17,13
48,40,8,16,13
49,41,7,16,13
0,31,17,1,14
1,25,23,3,14
2,27,21,9,14
3,25,23,11,14
4,22,26,13,14
5,23,25,15,14
6,27,21,23,14
7,34,14,28,14
8,32,16,25,14
9,34,14,27,14
10,37,11,29,14
11,39,9,30,14
12,40,8,28,14
13,40,8,29,14
14,42,6,30,14
15,42,6,23,14
16,42,6,20,14
17,40,8,18,14
18,41,7,20,14
19,39,9,16,14
20,38,10,15,14
21,41,7,16,14
22,41,7,17,14
23,42,6,17,14
24,40,8,10,14
25,37,11,11,14
26,38,10,11,14
27,39,9,11,14
28,39,9,12,14
29,39,9,13,14
30,40,8,14,14
31,41,7,14,14
32,42,6,15,14
33,42,6,10,14
34,42,6,11,14
35,44,4,13,14
36,44,4,14,14
37,44,4,14,14
38,45,3,14,14
39,45,3,13,14
40,46,2,8,14
41,46,2,8,14
42,44,4,8,14
43,43,5,9,14
44,41,7,8,14
45,43,5,10,14
46,39,9,10,14
47,35,13,8,14
48,30,18,8,14
49,27,21,10,14
0,26,22,1,15
1,17,31,4,15
2,17,31,12,15
3,20,28,12,15
4,24,24,19,15
5,26,22,21,15
6,28,20,22,15
7,31,17,27,15
8,34,14,31,15
9,39,9,32,15
10,38,10,32,15
11,40,8,29,15
12,42,6,30,15
13,44,4,29,15
14,41,7,26,15
15,40,8,24,15
16,37,11,23,15
17,39,9,25,15
18,43,5,27,15
19,41,7,22,15
20,41,7,21,15
21,41,7,19,15
22,37,11,16,15
23,39,9,16,15
24,41,7,17,15
25,39,9,17,15
26,38,10,17,15
27,36,12,14,15
28,35,13,15,15
29,35,13,17,15
30,36,12,21,15
31,37,11,23,15
32,40,8,26,15
33,38,10,26,15
34,37,11,25,15
35,37,11,23,15
36,40,8,24,15
37,41,7,24,15
38,42,6,24,15
39,45,3,25,15
40,46,2,26,15
41,46,2,24,15
42,47,1,23,15
43,46,2,21,15
44,46,2,20,15
45,44,4,17,15
46,44,4,15,15
47,44,4,16,15
48,43,5,17,15
49,41,7,11,15
0,25,23,0,16
1,16,32,3,16
2,12,36,4,16
3,13,35,9,16
4,19,29,16,16
5,22,26,20,16
6,30,18,26,16
7,28,20,26,16
8,31,17,27,16
9,32,16,28,16
10,34,14,30,16
11,35,13,28,16
12,32,16,27,16
13,32,16,27,16
14,33,15,29,16
15,35,13,26,16
16,33,15,25,16
17,29,19,22,16
18,30,18,20,16
19,26,22,19,16
20,31,17,22,16
21,31,17,21,16
22,35,13,20,16
23,34,14,21,16
24,34,14,24,16
25,32,16,22,16
26,33,15,24,16
27,31,17,25,16
28,33,15,25,16
29,35,13,26,16
30,35,13,25,16
31,34,14,25,16
32,35,13,23,16
33,35,13,25,16
34,36,12,26,16
35,38,10,26,16
36,36,12,25,16
37,34,14,22,16
38,33,15,20,16
39,38,10,23,16
40,37,11,22,16
41,36,12,23,16
42,36,12,24,16
43,37,11,25,16
44,39,9,22,16
45,37,11,20,16
46,37,11,21,16
47,40,8,24,16
48,37,11,23,16
49,36,12,21,16
0,36,12,4,17
1,34,14,7,17
2,28,20,8,17
3,27,21,12,17
4,28,20,13,17
5,25,23,16,17
6,29,19,22,17
7,29,19,20,17
8,30,18,20,17
9,31,17,23,17
10,33,15,24,17
11,32,16,22,17
12,35,13,20,17
13,35,13,20,17
14,32,16,19,17
15,36,12,21,17
16,35,13,23,17
17,34,14,21,17
18,32,16,21,17
19,33,15,22,17
20,32,16,20,17
21,36,12,25,17
22,35,13,23,17
23,35,13,23,17
24,34,14,22,17
25,35,13,21,17
26,38,10,21,17
27,36,12,21,17
28,38,10,24,17
29,40,8,25,17
30,38,10,19,17
31,36,12,19,17
32,35,13,21,17
33,38,10,21,17
34,39,9,21,17
35,42,6,21,17
36,41,7,22,17
37,42,6,22,17
38,45,3,24,17
39,45,3,23,17
40,45,3,20,17
41,44,4,16,17
42,41,7,13,17
43,40,8,14,17
44,38,10,16,17
45,40,8,19,17
46,41,7,19,17
47,37,11,18,17
48,36,12,16,17
49,32,16,16,17
0,28,20,0,18
1,25,23,2,18
2,18,30,5,18
3,17,31,8,18
4,17,31,11,18
5,21,27,18,18
6,22,26,19,18
7,30,18,24,18
8,29,19,25,18
9,30,18,25,18
10,33,15,28,18
11,34,14,29,18
12,36,12,26,18
13,31,17,26,18
14,32,16,26,18
15,36,12,29,18
16,36,12,28,18
17,37,11,28,18
18,38,10,27,18
19,37,11,23,18
20,41,7,23,18
21,41,7,24,18
22,45,3,25,18
23,46,2,24,18
24,46,2,20,18
25,46,2,18,18
26,47,1,18,18
27,48,0,19,18
28,48,0,17,18
29,48,0,16,18
30,48,0,15,18
31,48,0,15,18
32,48,0,13,18
33,48,0,13,18
34,48,0,11,18
35,48,0,10,18
36,48,0,8,18
37,48,0,8,18
38,48,0,7,18
39,48,0,7,18
40,48,0,6,18
41,48,0,6,18
42,48,0,6,18
43,48,0,5,18
44,48,0,4,18
45,48,0,3,18
46,48,0,1,18
47,48,0,1,18
48,48,0,1,18
49,48,0,1,18
0,33,15,3,19
1,30,18,8,19
2,32,16,12,19
3,31,17,13,19
4,30,18,15,19
5,29,19,16,19
6,31,17,16,19
7,32,16,18,19
8,30,18,14,19
9,31,17,16,19
10,28,20,16,19
11,33,15,23,19
12,31,17,19,19
13,37,11,26,19
14,35,13,23,19
15,33,15,18,19
16,31,17,19,19
17,28,20,18,19
18,26,22,20,19
19,28,20,24,19
20,32,16,27,19
21,32,16,28,19
22,33,15,25,19
23,31,17,24,19
24,32,16,22,19
25,30,18,21,19
26,30,18,23,19
27,31,17,25,19
28,33,15,25,19
29,34,14,27,19
30,35,13,26,19
31,32,16,26,19
32,32,16,25,19
33,30,18,23,19
34,32,16,23,19
35,33,15,25,19
36,35,13,23,19
37,34,14,20,19
38,34,14,22,19
39,33,15,19,19
40,30,18,17,19
41,32,16,18,19
42,29,19,18,19
43,32,16,23,19
44,34,14,25,19
45,34,14,27,19
46,37,11,28,19
47,39,9,26,19
48,37,11,20,19
49,35,13,20,19
0,31,17,2,20
1,27,21,6,20
2,24,24,11,20
3,25,23,16,20
4,30,18,20,20
5,31,17,20,20
6,30,18,22,20
7,31,17,25,20
8,30,18,24,20
9,29,19,24,20
10,30,18,23,20
11,32,16,23,20
12,31,17,21,20
13,32,16,22,20
14,32,16,25,20
15,35,13,27,20
16,35,13,27,20
17,37,11,22,20
18,39,9,26,20
19,39,9,23,20
20,41,7,26,20
21,43,5,26,20
22,43,5,24,20
23,43,5,24,20
24,43,5,23,20
25,44,4,23,20
26,45,3,21,20
27,45,3,20,20
28,45,3,20,20
29,46,2,18,20
30,46,2,19,20
31,47,1,20,20
32,47,1,19,20
33,46,2,16,20
34,45,3,17,20
35,46,2,17,20
36,44,4,16,20
37,44,4,16,20
38,45,3,14,20
39,43,5,12,20
40,42,6,11,20
41,41,7,10,20
42,40,8,10,20
43,36,12,10,20
44,38,10,14,20
45,40,8,13,20
46,40,8,14,20
47,41,7,12,20
48,40,8,12,20
49,39,9,10,20
0,29,19,1,21
1,28,20,4,21
2,28,20,8,21
3,28,20,9,21
4,18,30,8,21
5,21,27,16,21
6,20,28,18,21
7,25,23,23,21
8,32,16,28,21
9,36,12,30,21
10,37,11,31,21
11,36,12,32,21
12,38,10,32,21
13,38,10,33,21
14,38,10,34,21
15,39,9,33,21
16,41,7,32,21
17,42,6,31,21
18,43,5,31,21
19,41,7,30,21
20,39,9,26,21
21,39,9,22,21
22,42,6,23,21
23,43,5,19,21
24,42,6,16,21
25,41,7,14,21
26,42,6,17,21
27,39,9,16,21
28,38,10,17,21
29,38,10,17,21
30,37,11,18,21
31,38,10,16,21
32,37,11,16,21
33,33,15,15,21
34,28,20,14,21
35,27,21,16,21
36,26,22,16,21
37,26,22,16,21
38,26,22,18,21
39,28,20,21,21
40,33,15,26,21
41,36,12,24,21
42,32,16,23,21
43,35,13,25,21
44,33,15,22,21
45,32,16,22,21
46,32,16,22,21
47,30,18,19,21
48,27,21,22,21
49,29,19,23,21
0,32,16,2,22
1,27,21,3,22
2,27,21,6,22
3,26,22,7,22
4,26,22,10,22
5,22,26,11,22
6,27,21,17,22
7,24,24,19,22
8,21,27,14,22
9,21,27,18,22
10,25,23,19,22
11,25,23,19,22
12,29,19,24,22
13,31,17,27,22
14,34,14,30,22
15,35,13,29,22
16,36,12,29,22
17,37,11,28,22
18,37,11,29,22
19,37,11,28,22
20,38,10,28,22
21,43,5,30,22
22,45,3,32,22
23,45,3,31,22
24,44,4,29,22
25,44,4,26,22
26,44,4,25,22
27,43,5,22,22
28,45,3,22,22
29,45,3,23,22
30,45,3,20,22
31,46,2,19,22
32,46,2,18,22
33,47,1,18,22
34,47,1,15,22
35,47,1,13,22
36,46,2,12,22
37,45,3,12,22
38,44,4,12,22
39,43,5,11,22
40,43,5,10,22
41,41,7,10,22
42,38,10,9,22
43,39,9,11,22
44,40,8,13,22
45,42,6,13,22
46,43,5,14,22
47,43,5,12,22
48,44,4,12,22
49,44,4,13,22
0,25,23,0,23
1,16,32,3,23
2,16,32,10,23
3,17,31,14,23
4,21,27,16,23
5,27,21,23,23
6,29,19,25,23
7,31,17,26,23
8,35,13,27,23
9,34,14,25,23
10,37,11,27,23
11,39,9,24,23
12,36,12,22,23
13,37,11,26,23
14,36,12,26,23
15,36,12,24,23
16,33,15,22,23
17,33,15,25,23
18,34,14,25,23
19,35,13,27,23
20,37,11,28,23
21,37,11,26,23
22,37,11,27,23
23,41,7,30,23
24,41,7,29,23
25,41,7,27,23
26,39,9,21,23
27,39,9,21,23
28,43,5,24,23
29,44,4,25,23
30,45,3,24,23
31,45,3,20,23
32,44,4,18,23
33,42,6,16,23
34,41,7,14,23
35,42,6,14,23
36,39,9,12,23
37,36,12,12,23
38,37,11,13,23
39,35,13,14,23
40,34,14,16,23
41,31,17,15,23
42,31,17,16,23
43,30,18,20,23
44,33,15,19,23
45,31,17,20,23
46,28,20,22,23
47,24,24,19,23
48,24,24,21,23
49,25,23,23,23
0,31,17,2,24
1,25,23,5,24
2,26,22,10,24
3,30,18,14,24
4,25,23,16,24
5,28,20,17,24
6,30,18,20,24
7,29,19,20,24
8,33,15,23,24
9,33,15,22,24
10,36,12,25,24
11,36,12,21,24
12,33,15,18,24
13,29,19,18,24
14,29,19,18,24
15,31,17,20,24
16,30,18,16,24
17,33,15,19,24
18,37,11,22,24
19,37,11,21,24
20,35,13,19,24
21,36,12,22,24
22,36,12,23,24
23,36,12,22,24
24,37,11,21,24
25,37,11,20,24
26,39,9,21,24
27,40,8,20,24
28,44,4,20,24
29,45,3,21,24
30,47,1,21,24
31,47,1,18,24
32,48,0,18,24
33,48,0,16,24
34,48,0,15,24
35,48,0,14,24
36,48,0,13,24
37,48,0,9,24
38,48,0,6,24
39,48,0,6,24
40,48,0,4,24
41,48,0,4,24
42,48,0,3,24
43,48,0,3,24
44,48,0,3,24
45,48,0,3,24
46,48,0,2,24
47,48,0,2,24
48,48,0,2,24
49,48,0,2,24
0,29,19,2,25
1,28,20,6,25
2,28,20,7,25
3,27,21,10,25
4,25,23,12,25
5,30,18,20,25
6,35,13,20,25
7,35,13,20,25
8,34,14,20,25
9,31,17,20,25
10,29,19,21,25
11,34,14,24,25
12,37,11,25,25
13,37,11,23,25
14,35,13,23,25
15,38,10,25,25
16,40,8,26,25
17,41,7,25,25
18,41,7,26,25
19,42,6,26,25
20,42,6,24,25
21,41,7,23,25
22,41,7,25,25
23,44,4,25,25
24,43,5,25,25
25,43,5,23,25
26,39,9,19,25
27,37,11,18,25
28,36,12,20,25
29,35,13,21,25
30,35,13,22,25
31,37,11,26,25
32,39,9,26,25
33,38,10,25,25
34,36,12,23,25
35,35,13,21,25
36,36,12,24,25
37,36,12,20,25
38,34,14,22,25
39,32,16,21,25
40,32,16,20,25
41,30,18,22,25
42,30,18,23,25
43,31,17,21,25
44,30,18,20,25
45,30,18,19,25
46,27,21,20,25
47,24,24,20,25
48,29,19,23,25
49,31,17,26,25
0,32,16,2,26
1,25,23,6,26
2,21,27,10,26
3,20,28,14,26
4,21,27,15,26
5,21,27,18,26
6,27,21,24,26
7,31,17,29,26
8,37,11,30,26
9,38,10,29,26
10,39,9,28,26
11,41,7,31,26
12,39,9,28,26
13,38,10,25,26
14,36,12,24,26
15,34,14,22,26
16,35,13,24,26
17,36,12,25,26
18,35,13,22,26
19,34,14,22,26
20,30,18,20,26
21,28,20,20,26
22,29,19,22,26
23,28,20,25,26
24,31,17,25,26
25,29,19,23,26
26,31,17,24,26
27,34,14,26,26
28,36,12,25,26
29,39,9,23,26
30,38,10,20,26
31,38,10,21,26
32,37,11,21,26
33,36,12,21,26
34,36,12,19,26
35,32,16,16,26
36,33,15,20,26
37,33,15,21,26
38,32,16,23,26
39,35,13,27,26
40,36,12,27,26
41,37,11,24,26
42,36,12,24,26
43,38,10,26,26
44,41,7,27,26
45,42,6,27,26
46,42,6,27,26
47,42,6,25,26
48,41,7,23,26
49,41,7,25,26
0,33,15,4,27
1,26,22,7,27
2,23,25,10,27
3,20,28,12,27
4,21,27,16,27
5,23,25,16,27
6,20,28,17,27
7,25,23,20,27
8,28,20,21,27
9,27,21,20,27
10,28,20,22,27
11,32,16,25,27
12,35,13,22,27
13,30,18,21,27
14,32,16,21,27
15,30,18,21,27
16,33,15,23,27
17,31,17,23,27
18,33,15,25,27
19,33,15,24,27
20,33,15,26,27
21,33,15,25,27
22,34,14,25,27
23,33,15,25,27
24,37,11,28,27
25,34,14,26,27
26,33,15,25,27
27,32,16,22,27
28,31,17,22,27
29,29,19,21,27
30,33,15,25,27
31,35,13,24,27
32,34,14,21,27
33,35,13,22,27
34,35,13,22,27
35,38,10,23,27
36,36,12,20,27
37,35,13,20,27
38,33,15,17,27
39,32,16,19,27
40,29,19,19,27
41,30,18,22,27
42,31,17,18,27
43,32,16,20,27
44,31,17,21,27
45,33,15,23,27
46,31,17,23,27
47,36,12,29,27
48,37,11,29,27
49,36,12,26,27
0,30,18,2,28
1,21,27,4,28
2,19,29,9,28
3,17,31,12,28
4,18,30,15,28
5,23,25,20,28
6,24,24,23,28
7,30,18,27,28
8,31,17,28,28
9,31,17,29,28
10,37,11,32,28
11,33,15,29,28
12,31,17,29,28
13,32,16,26,28
14,31,17,24,28
15,34,14,30,28
16,37,11,33,28
17,40,8,33,28
18,39,9,32,28
19,39,9,31,28
20,39,9,27,28
21,37,11,24,28
22,34,14,21,28
23,31,17,21,28
24,30,18,22,28
25,32,16,25,28
26,32,16,24,28
27,36,12,26,28
28,35,13,27,28
29,31,17,23,28
30,30,18,24,28
31,31,17,26,28
32,30,18,27,28
33,32,16,26,28
34,34,14,23,28
35,33,15,24,28
36,32,16,20,28
37,28,20,19,28
38,28,20,21,28
39,29,19,20,28
40,31,17,23,28
41,32,16,23,28
42,32,16,23,28
43,34,14,23,28
